Reference,Group,MST (month),Hazard ratio,95% CI,P value
0 (High),0 (High),-,1,-,-
0 (High),0 (Intermediate),inf,0.464,0.120–1.795,0.256
0 (High),1-19 (High),38.9,1.034,0.353–3.030,0.951
0 (High),1-19 (Intermediate),inf,0.184,0.035–0.960,0.025
0 (High),>20 (High),50.3,0.982,0.261–3.699,0.979
0 (High),>20 (Intermediate),inf,0.363,0.042–3.135,0.337
0 (Intermediate),0 (High),inf,2.156,0.557–8.344,0.256
0 (Intermediate),0 (Intermediate),-,1,-,-
0 (Intermediate),1-19 (High),38.9,1.988,0.619–6.387,0.239
0 (Intermediate),1-19 (Intermediate),inf,0.448,0.081–2.482,0.346
0 (Intermediate),>20 (High),50.3,2.831,0.684–11.709,0.135
0 (Intermediate),>20 (Intermediate),inf,1.029,0.111–9.561,0.980
1-19 (High),0 (High),inf,0.967,0.330–2.834,0.951
1-19 (High),0 (Intermediate),inf,0.503,0.157–1.616,0.239
1-19 (High),1-19 (High),-,1,-,-
1-19 (High),1-19 (Intermediate),inf,0.178,0.039–0.817,0.012
1-19 (High),>20 (High),50.3,0.871,0.272–2.785,0.816
1-19 (High),>20 (Intermediate),inf,0.348,0.044–2.725,0.292
1-19 (Intermediate),0 (High),inf,5.439,1.042–28.381,0.025
1-19 (Intermediate),0 (Intermediate),inf,2.233,0.403–12.383,0.346
1-19 (Intermediate),1-19 (High),38.9,5.616,1.225–25.756,0.012
1-19 (Intermediate),1-19 (Intermediate),-,1,-,-
1-19 (Intermediate),>20 (High),50.3,6.518,1.167–36.413,0.015
1-19 (Intermediate),>20 (Intermediate),inf,2.122,0.190–23.738,0.532
>20 (High),0 (High),inf,1.018,0.270–3.836,0.979
>20 (High),0 (Intermediate),inf,0.353,0.085–1.461,0.135
>20 (High),1-19 (High),38.9,1.148,0.359–3.671,0.816
>20 (High),1-19 (Intermediate),inf,0.153,0.027–0.857,0.015
>20 (High),>20 (High),-,1,-,-
>20 (High),>20 (Intermediate),inf,0.401,0.044–3.673,0.403
>20 (Intermediate),0 (High),inf,2.757,0.319–23.831,0.337
>20 (Intermediate),0 (Intermediate),inf,0.972,0.105–9.037,0.980
>20 (Intermediate),1-19 (High),38.9,2.876,0.367–22.543,0.292
>20 (Intermediate),1-19 (Intermediate),inf,0.471,0.042–5.273,0.532
>20 (Intermediate),>20 (High),50.3,2.495,0.272–22.865,0.403
>20 (Intermediate),>20 (Intermediate),-,1,-,-
