Reference,Group,MST (month),Hazard ratio,95% CI,P value
Non-Responder (High),Non-Responder (High),-,1,-,-
Non-Responder (High),Non-Responder (Intermediate),inf,0.393,0.128–1.209,0.091
Non-Responder (High),Responder (High),inf,0.479,0.170–1.347,0.154
Non-Responder (High),Responder (Intermediate),inf,0.075,0.010–0.577,0.001
Non-Responder (Intermediate),Non-Responder (High),18.3,2.547,0.827–7.841,0.091
Non-Responder (Intermediate),Non-Responder (Intermediate),-,1,-,-
Non-Responder (Intermediate),Responder (High),inf,1.303,0.349–4.864,0.693
Non-Responder (Intermediate),Responder (Intermediate),inf,0.188,0.021–1.680,0.094
Responder (High),Non-Responder (High),18.3,2.088,0.742–5.873,0.154
Responder (High),Non-Responder (Intermediate),inf,0.768,0.206–2.866,0.693
Responder (High),Responder (High),-,1,-,-
Responder (High),Responder (Intermediate),inf,0.147,0.017–1.263,0.043
Responder (Intermediate),Non-Responder (High),18.3,13.291,1.732–101.997,0.001
Responder (Intermediate),Non-Responder (Intermediate),inf,5.330,0.595–47.711,0.094
Responder (Intermediate),Responder (High),inf,6.790,0.792–58.205,0.043
Responder (Intermediate),Responder (Intermediate),-,1,-,-
