"contrast","HR","HR_lower","HR_upper","p_value","source"
"age",0.97,0.93,1.01,0.11,"univariate"
"gender",NA,NA,NA,NA,"univariate"
"Male",NA,NA,NA,NA,"univariate"
"Female",1.01,0.35,2.93,0.9,"univariate"
"hpv",NA,NA,NA,NA,"univariate"
"No",NA,NA,NA,NA,"univariate"
"Unknown",1.19,0.44,3.23,0.7,"univariate"
"smoking",NA,NA,NA,NA,"univariate"
"No",NA,NA,NA,NA,"univariate"
"Yes",1.27,0.46,3.51,0.7,"univariate"
"alcohol",NA,NA,NA,NA,"univariate"
"No",NA,NA,NA,NA,"univariate"
"Yes",0.59,0.2,1.7,0.3,"univariate"
"response",NA,NA,NA,NA,"univariate"
"Responder",NA,NA,NA,NA,"univariate"
"Non-Responder",1.98,0.69,5.74,0.2,"univariate"
"stratification",NA,NA,NA,NA,"univariate"
"Intermediate",NA,NA,NA,NA,"univariate"
"High",7.16,1.62,31.6,0.009,"univariate"
"ihc",NA,NA,NA,NA,"univariate"
">20",NA,NA,NA,NA,"univariate"
"1-19",1.84,0.4,8.41,0.4,"univariate"
"0",1.04,0.19,5.71,0.9,"univariate"
"tf",NA,NA,NA,NA,"univariate"
"Low",NA,NA,NA,NA,"univariate"
"High",0.48,0.18,1.33,0.2,"univariate"
