Disease Free Survival,,,,,,,,Overall Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group 1,Group 2,p-value,Format,,,,,Group 1,Group 2,p-value,Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responder (Intermediate),Responder (High),0.0366,responder_stratification,,,,,Responder (Intermediate),Responder (High),0.265,responder_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responder (Intermediate),Non-Responder (Intermediate),0.162,responder_stratification,,,,,Responder (Intermediate),Non-Responder (Intermediate),0.833,responder_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responder (Intermediate),Non-Responder (High),0.0117,responder_stratification,,,,,Responder (Intermediate),Non-Responder (High),0.0573,responder_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responder (High),Non-Responder (Intermediate),0.454,responder_stratification,,,,,Responder (High),Non-Responder (Intermediate),0.236,responder_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responder (High),Non-Responder (High),0.485,responder_stratification,,,,,Responder (High),Non-Responder (High),0.384,responder_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Responder (Intermediate),Non-Responder (High),0.187,responder_stratification,,,,,Non-Responder (Intermediate),Non-Responder (High),0.0432,responder_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20 (Intermediate),>20 (High),0.0735,ihc_stratification,,,,,>20 (Intermediate),>20 (High),0.274,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20 (Intermediate),1–19 (Intermediate),0.404,ihc_stratification,,,,,>20 (Intermediate),1–19 (Intermediate),0.661,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20 (Intermediate),1–19 (High),0.116,ihc_stratification,,,,,>20 (Intermediate),1–19 (High),0.292,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20 (Intermediate),0 (Intermediate),0.322,ihc_stratification,,,,,>20 (Intermediate),0 (Intermediate),0.941,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20 (Intermediate),0 (High),0.167,ihc_stratification,,,,,>20 (Intermediate),0 (High),0.512,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20 (High),1–19 (Intermediate),0.0855,ihc_stratification,,,,,>20 (High),1–19 (Intermediate),0.0354,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20 (High),1–19 (High),0.944,ihc_stratification,,,,,>20 (High),1–19 (High),0.816,ihc_stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
