"contrast","HR","HR_lower","HR_upper","p_value","source"
"age",0.99,0.96,1.03,0.6,"univariate"
"gender",NA,NA,NA,NA,"univariate"
"Male",NA,NA,NA,NA,"univariate"
"Female",0.95,0.41,2.18,0.9,"univariate"
"hpv",NA,NA,NA,NA,"univariate"
"No",NA,NA,NA,NA,"univariate"
"Unknown",1.26,0.57,2.79,0.6,"univariate"
"smoking",NA,NA,NA,NA,"univariate"
"No",NA,NA,NA,NA,"univariate"
"Yes",1.16,0.52,2.61,0.7,"univariate"
"alcohol",NA,NA,NA,NA,"univariate"
"No",NA,NA,NA,NA,"univariate"
"Yes",0.78,0.35,1.72,0.5,"univariate"
"response",NA,NA,NA,NA,"univariate"
"Responder",NA,NA,NA,NA,"univariate"
"Non-Responder",2.2,0.98,4.95,0.056,"univariate"
"stratification",NA,NA,NA,NA,"univariate"
"Intermediate",NA,NA,NA,NA,"univariate"
"High",3.09,1.29,7.38,0.011,"univariate"
"ihc",NA,NA,NA,NA,"univariate"
">20",NA,NA,NA,NA,"univariate"
"1-19",0.79,0.28,2.25,0.7,"univariate"
"0",0.93,0.31,2.78,0.9,"univariate"
"tf",NA,NA,NA,NA,"univariate"
"Low",NA,NA,NA,NA,"univariate"
"High",0.55,0.25,1.21,0.14,"univariate"
