"contrast","HR","HR_lower","HR_upper","p_value","source"
"age",0.98,0.94,1.01,0.2,"univariate"
"gender",NA,NA,NA,NA,"univariate"
"Male",NA,NA,NA,NA,"univariate"
"Female",1.19,0.49,2.88,0.7,"univariate"
"hpv",NA,NA,NA,NA,"univariate"
"No",NA,NA,NA,NA,"univariate"
"Unknown",0.84,0.35,2.04,0.7,"univariate"
"smoking",NA,NA,NA,NA,"univariate"
"No",NA,NA,NA,NA,"univariate"
"Yes",0.83,0.35,1.93,0.7,"univariate"
"alcohol",NA,NA,NA,NA,"univariate"
"No",NA,NA,NA,NA,"univariate"
"Yes",0.46,0.18,1.19,0.11,"univariate"
"response",NA,NA,NA,NA,"univariate"
"Responder",NA,NA,NA,NA,"univariate"
"Non-Responder",2.67,1.03,6.92,0.043,"univariate"
"stratification",NA,NA,NA,NA,"univariate"
"Intermediate",NA,NA,NA,NA,"univariate"
"High",3.31,1.21,9.01,0.019,"univariate"
"ihc",NA,NA,NA,NA,"univariate"
">20",NA,NA,NA,NA,"univariate"
"1-19",1.14,0.36,3.58,0.8,"univariate"
"0",1.04,0.3,3.6,0.9,"univariate"
"tf",NA,NA,NA,NA,"univariate"
"Low",NA,NA,NA,NA,"univariate"
"High",0.74,0.31,1.76,0.5,"univariate"
