Disease Free Survival,,,,,,Overall Survival,,,,
contrast,HR,HR_lower,HR_upper,p_value,,contrast,HR,HR_lower,HR_upper,p_value
age,0.99,0.96,1.02,0.5,,age,0.99,0.96,1.02,0.6
gender,NA,NA,NA,NA,,gender,NA,NA,NA,NA
Male,NA,NA,NA,NA,,Male,NA,NA,NA,NA
Female,1.03,0.47,2.26,0.9,,Female,1.02,0.44,2.36,0.9
hpv,NA,NA,NA,NA,,hpv,NA,NA,NA,NA
No,NA,NA,NA,NA,,No,NA,NA,NA,NA
Unknown,0.78,0.37,1.62,0.5,,Unknown,1.07,0.48,2.37,0.9
smoking,NA,NA,NA,NA,,smoking,NA,NA,NA,NA
No,NA,NA,NA,NA,,No,NA,NA,NA,NA
Yes,0.96,0.45,2.03,0.9,,Yes,1.21,0.53,2.74,0.7
alcohol,NA,NA,NA,NA,,alcohol,NA,NA,NA,NA
No,NA,NA,NA,NA,,No,NA,NA,NA,NA
Yes,0.62,0.29,1.33,0.2,,Yes,0.76,0.34,1.73,0.5
response,NA,NA,NA,NA,,response,NA,NA,NA,NA
Responder,NA,NA,NA,NA,,Responder,NA,NA,NA,NA
Non-Responder,2.5,1.16,5.38,0.02,,Non-Responder,2.17,0.96,4.92,0.063
stratification,NA,NA,NA,NA,,stratification,NA,NA,NA,NA
Intermediate,NA,NA,NA,NA,,Intermediate,NA,NA,NA,NA
High,2.22,1.01,4.89,0.048,,High,2.67,1.11,6.42,0.028
ihc,NA,NA,NA,NA,,ihc,NA,NA,NA,NA
>20,NA,NA,NA,NA,,>20,NA,NA,NA,NA
19-Jan,0.76,0.28,2.03,0.6,,19-Jan,0.88,0.31,2.51,0.8
0,0.97,0.36,2.64,0.9,,0,0.82,0.27,2.51,0.7
tf,NA,NA,NA,NA,,tf,NA,NA,NA,NA
Low,NA,NA,NA,NA,,Low,NA,NA,NA,NA
High,0.53,0.25,1.12,0.095,,High,0.51,0.23,1.15,0.1
